id,name,type,aliases,release_year,param_count_b,context_window_k
year_2023,2023,Year,,,,
year_2024,2024,Year,,,,
year_2025,2025,Year,,,,
openai,OpenAI,Org,Open AI|OpenAI Inc.,,,
anthropic,Anthropic,Org,Anthropic AI,,,
google,Google,Org,Google LLC,,,
google_deepmind,Google DeepMind,Org,DeepMind|Google DeepMind AI,,,
meta,Meta,Org,Meta AI|Facebook AI Research|FAIR,,,
mistral_ai,Mistral AI,Org,Mistral,,,
cohere,Cohere,Org,Cohere AI,,,
xai,xAI,Org,X.AI,,,
alibaba_cloud,Alibaba Cloud,Org,Alibaba|Qwen Team|Tongyi Qianwen,,,
deepseek,DeepSeek,Org,DeepSeek AI,,,
ai21_labs,AI21 Labs,Org,AI21,,,
tii,Technology Innovation Institute,Org,TII,,,
allen_ai,Allen Institute for AI,Org,AI2,,,
databricks,Databricks,Org,Databricks Mosaic Research|MosaicML,,,
zero_one_ai,01.AI,Org,01 AI|Yi,,,
bigcode,BigCode,Org,BigCode Project,,,
microsoft,Microsoft,Org,Microsoft Research,,,
stanford,Stanford University,Org,Stanford,,,
lmsys,LMSYS,Org,LMSYS Org,,,
uc_berkeley_sky,UC Berkeley Sky Computing Lab,Org,Sky Computing Lab,,,
mmlu,MMLU,Benchmark,Massive Multitask Language Understanding,,,
human_eval,HumanEval,Benchmark,Human Eval,,,
gsm8k,GSM8K,Benchmark,Grade School Math 8K,,,
math,MATH,Benchmark,MATH benchmark,,,
bbh,BBH,Benchmark,BIG-Bench Hard,,,
hellaswag,HellaSwag,Benchmark,Hella Swag,,,
arc_challenge,ARC-Challenge,Benchmark,ARC Challenge,,,
truthfulqa,TruthfulQA,Benchmark,Truthful QA,,,
winogrande,WinoGrande,Benchmark,Wino Grande,,,
drop,DROP,Benchmark,Discrete Reasoning Over Paragraphs,,,
mbpp,MBPP,Benchmark,Mostly Basic Python Problems,,,
mmmu,MMMU,Benchmark,Massive Multi-discipline Multimodal Understanding,,,
gpqa,GPQA,Benchmark,Graduate-Level Google-Proof Q&A,,,
ifeval,IFEval,Benchmark,Instruction-Following Evaluation,,,
swe_bench,SWE-bench,Benchmark,SWE Bench,,,
chatbot_arena,Chatbot Arena,Benchmark,LMSYS Chatbot Arena|Arena,,,
alpaca_eval,AlpacaEval,Benchmark,Alpaca Eval,,,
mt_bench,MT-Bench,Benchmark,MT Bench,,,
livecodebench,LiveCodeBench,Benchmark,Live Code Bench,,,
needlebench,NeedleBench,Benchmark,Needle Bench,,,
gpt_4,GPT-4,Model,GPT4|OpenAI GPT-4,2023,,
gpt_4_turbo,GPT-4 Turbo,Model,GPT-4-1106-preview|GPT-4 Turbo preview,2023,,128
gpt_4o,GPT-4o,Model,Omni|GPT-4 Omni|4o,2024,,128
gpt_4o_mini,GPT-4o mini,Model,GPT-4o-mini|4o mini,2024,,128
o1_preview,o1-preview,Model,OpenAI o1 preview|o1 preview,2024,,
