id,name,type,aliases,release_year,param_count_b,context_window_k
p_arlen_veyro,Arlen Veyro,Person,Arlen V|AVeyro,,,
p_brisa_nalore,Brisa Nalore,Person,Brisa N|BNalore,,,
p_corwin_mavik,Corwin Mavik,Person,Corwin M|CMavik,,,
p_della_quorin,Della Quorin,Person,Della Q|DQuorin,,,
p_eron_pellis,Eron Pellis,Person,Eron P|EPellis,,,
p_fia_selwick,Fia Selwick,Person,Fia S|FSelwick,,,
p_gavo_rellin,Gavo Rellin,Person,Gavo R|GRellin,,,
p_hessa_torvane,Hessa Torvane,Person,Hessa T|HTorvane,,,
p_ivo_caldrin,Ivo Caldrin,Person,Ivo C|ICaldrin,,,
p_jessa_minlow,Jessa Minlow,Person,Jessa M|JMinlow,,,
p_kellan_orvix,Kellan Orvix,Person,Kellan O|KOrvix,,,
p_luma_rennic,Luma Rennic,Person,Luma R|LRennic,,,
p_maro_veskin,Maro Veskin,Person,Maro V|MVeskin,,,
p_nira_tavro,Nira Tavro,Person,Nira T|NTavro,,,
p_oren_halix,Oren Halix,Person,Oren H|OHalix,,,
org_aster_quay_group,Aster Quay Group,Org,Aster Quay|AQG,,,
org_brindle_nacre_works,Brindle Nacre Works,Org,Brindle Nacre|BNW,,,
team_velora_signal,Velora Signal Team,Team,Velora Signal|VST,,,
team_northpass_loom,Northpass Loom Cooperative,Team,Northpass Loom|NLC,,,
project_tallowmere,Project Tallowmere,Project,Tallowmere,,,
project_glasskite,Project Glasskite,Project,Glasskite,,,
project_emberfold,Project Emberfold,Project,Emberfold,,,
project_rivetspool,Project Rivetspool,Project,Rivetspool,,,
project_moonquill,Project Moonquill,Project,Moonquill,,,
city_dovemarsh,Dovemarsh,City,Dove Marsh,,,
city_larkhollow,Larkhollow,City,Lark Hollow,,,
city_orison_vale,Orison Vale,City,Orison,,,
city_quillbay,Quillbay,City,Quill Bay,,,
city_vesperfield,Vesperfield,City,Vesper Field,,,
pet_bramble,Bramble,Pet,Little Bramble,,,
pet_tiko,Tiko,Pet,Tiny Tiko,,,
pet_nema,Nema,Pet,Nema Kit,,,
pet_ruffle,Ruffle,Pet,Little Ruffle,,,
pet_pavo,Pavo,Pet,Pavo Pup,,,
pet_quince,Quince,Pet,Quince Cat,,,
year_1984,1984,Year,,,,
year_1986,1986,Year,,,,
year_1988,1988,Year,,,,
year_1990,1990,Year,,,,
year_1992,1992,Year,,,,
year_1994,1994,Year,,,,
year_1996,1996,Year,,,,
year_1998,1998,Year,,,,
year_2000,2000,Year,,,,
year_2002,2002,Year,,,,
year_2020,2020,Year,,,,
year_2021,2021,Year,,,,
year_2022,2022,Year,,,,
year_2023,2023,Year,,,,
year_2024,2024,Year,,,,
year_2025,2025,Year,,,,
