src,src_name,src_type,rel,dst,dst_name,dst_type,functional
gpt_4,GPT-4,Model,developed_by,openai,OpenAI,Org,true
gpt_4,GPT-4,Model,released_in,year_2023,2023,Year,true
gpt_4_turbo,GPT-4 Turbo,Model,developed_by,openai,OpenAI,Org,true
gpt_4_turbo,GPT-4 Turbo,Model,released_in,year_2023,2023,Year,true
gpt_4o,GPT-4o,Model,developed_by,openai,OpenAI,Org,true
gpt_4o,GPT-4o,Model,released_in,year_2024,2024,Year,true
gpt_4o_mini,GPT-4o mini,Model,developed_by,openai,OpenAI,Org,true
gpt_4o_mini,GPT-4o mini,Model,released_in,year_2024,2024,Year,true
o1_preview,o1-preview,Model,developed_by,openai,OpenAI,Org,true
o1_preview,o1-preview,Model,released_in,year_2024,2024,Year,true
o1,o1,Model,developed_by,openai,OpenAI,Org,true
o1,o1,Model,released_in,year_2024,2024,Year,true
o3_mini,o3-mini,Model,developed_by,openai,OpenAI,Org,true
o3_mini,o3-mini,Model,released_in,year_2025,2025,Year,true
gpt_4_1,GPT-4.1,Model,developed_by,openai,OpenAI,Org,true
gpt_4_1,GPT-4.1,Model,released_in,year_2025,2025,Year,true
gpt_4_1_mini,GPT-4.1 mini,Model,developed_by,openai,OpenAI,Org,true
gpt_4_1_mini,GPT-4.1 mini,Model,released_in,year_2025,2025,Year,true
claude_2,Claude 2,Model,developed_by,anthropic,Anthropic,Org,true
claude_2,Claude 2,Model,released_in,year_2023,2023,Year,true
claude_2_1,Claude 2.1,Model,developed_by,anthropic,Anthropic,Org,true
claude_2_1,Claude 2.1,Model,released_in,year_2023,2023,Year,true
claude_3_opus,Claude 3 Opus,Model,developed_by,anthropic,Anthropic,Org,true
claude_3_opus,Claude 3 Opus,Model,released_in,year_2024,2024,Year,true
claude_3_sonnet,Claude 3 Sonnet,Model,developed_by,anthropic,Anthropic,Org,true
claude_3_sonnet,Claude 3 Sonnet,Model,released_in,year_2024,2024,Year,true
claude_3_haiku,Claude 3 Haiku,Model,developed_by,anthropic,Anthropic,Org,true
claude_3_haiku,Claude 3 Haiku,Model,released_in,year_2024,2024,Year,true
claude_3_5_sonnet,Claude 3.5 Sonnet,Model,developed_by,anthropic,Anthropic,Org,true
claude_3_5_sonnet,Claude 3.5 Sonnet,Model,released_in,year_2024,2024,Year,true
claude_3_5_haiku,Claude 3.5 Haiku,Model,developed_by,anthropic,Anthropic,Org,true
claude_3_5_haiku,Claude 3.5 Haiku,Model,released_in,year_2024,2024,Year,true
claude_3_7_sonnet,Claude 3.7 Sonnet,Model,developed_by,anthropic,Anthropic,Org,true
claude_3_7_sonnet,Claude 3.7 Sonnet,Model,released_in,year_2025,2025,Year,true
claude_sonnet_4,Claude Sonnet 4,Model,developed_by,anthropic,Anthropic,Org,true
claude_sonnet_4,Claude Sonnet 4,Model,released_in,year_2025,2025,Year,true
claude_opus_4,Claude Opus 4,Model,developed_by,anthropic,Anthropic,Org,true
claude_opus_4,Claude Opus 4,Model,released_in,year_2025,2025,Year,true
gemini_ultra,Gemini Ultra,Model,developed_by,google_deepmind,Google DeepMind,Org,true
gemini_ultra,Gemini Ultra,Model,released_in,year_2023,2023,Year,true
gemini_pro,Gemini Pro,Model,developed_by,google_deepmind,Google DeepMind,Org,true
gemini_pro,Gemini Pro,Model,released_in,year_2023,2023,Year,true
gemini_1_5_pro,Gemini 1.5 Pro,Model,developed_by,google_deepmind,Google DeepMind,Org,true
gemini_1_5_pro,Gemini 1.5 Pro,Model,released_in,year_2024,2024,Year,true
gemini_1_5_flash,Gemini 1.5 Flash,Model,developed_by,google_deepmind,Google DeepMind,Org,true
gemini_1_5_flash,Gemini 1.5 Flash,Model,released_in,year_2024,2024,Year,true
gemini_2_0_flash,Gemini 2.0 Flash,Model,developed_by,google_deepmind,Google DeepMind,Org,true
